,data,temperatura_max_2m,temperature_2m_min,sensação_termica_max,sensação_termica_min,quantia_chuva
0,1950-01-01 03:00:00,27.9945,18.0445,31.630863,19.461273,0.0
1,1950-01-02 03:00:00,27.2445,18.8945,31.302559,21.221575,1.9000001
2,1950-01-03 03:00:00,27.2445,17.8445,31.110989,20.343407,10.400001
3,1950-01-04 03:00:00,27.4945,18.3445,30.32188,20.27681,12.900002
4,1950-01-05 03:00:00,27.3945,17.5945,30.718235,19.527992,17.1
5,1950-01-06 03:00:00,27.2945,17.9445,28.558537,19.862806,0.2
6,1950-01-07 03:00:00,27.7945,16.8445,29.311138,17.346613,0.0
7,1950-01-08 03:00:00,28.5445,17.3945,29.796448,17.200289,0.0
8,1950-01-09 03:00:00,26.9445,17.7945,29.081276,17.533463,0.0
9,1950-01-10 03:00:00,28.2445,18.0445,29.426544,18.383432,0.0
10,1950-01-11 03:00:00,27.2445,18.1945,28.011444,19.322031,0.0
11,1950-01-12 03:00:00,27.9445,17.6945,31.11036,18.760324,5.5
12,1950-01-13 03:00:00,26.5945,17.9945,28.306221,19.899275,10.0
13,1950-01-14 03:00:00,25.5945,18.1445,27.961014,20.139177,13.0
14,1950-01-15 03:00:00,26.4945,17.2445,29.221302,18.6995,10.4
15,1950-01-16 03:00:00,25.4945,17.7945,27.100567,19.99723,10.1
16,1950-01-17 03:00:00,25.0945,17.3445,29.173088,19.443,1.3000001
17,1950-01-18 03:00:00,25.6945,16.9945,29.15469,19.05976,6.1999993
18,1950-01-19 03:00:00,25.8945,17.8945,28.639557,19.621418,7.2999997
19,1950-01-20 03:00:00,24.7445,17.5445,26.389185,19.337364,1.3000001
20,1950-01-21 03:00:00,22.4445,17.6445,24.921808,19.814116,12.400001
21,1950-01-22 03:00:00,22.9945,17.9445,24.290617,19.86244,7.1000004
22,1950-01-23 03:00:00,21.1945,17.4445,22.132988,17.601297,14.499999
23,1950-01-24 03:00:00,22.6445,17.7945,24.793377,19.120455,3.4999995
24,1950-01-25 03:00:00,24.1445,17.7445,27.53728,19.910582,1.9
25,1950-01-26 03:00:00,24.8445,16.7945,29.173054,18.772038,1.9999999
26,1950-01-27 03:00:00,25.6445,17.4945,28.622272,19.728102,2.6
27,1950-01-28 03:00:00,25.6445,16.8445,29.130035,18.388727,6.4
28,1950-01-29 03:00:00,26.3445,16.5445,29.455025,18.129042,18.4
29,1950-01-30 03:00:00,26.4945,17.2445,30.230045,18.785114,6.7
30,1950-01-31 03:00:00,26.7945,17.8445,29.976204,19.070148,16.4
31,1950-02-01 03:00:00,26.1445,17.9945,29.870037,20.550255,11.1
32,1950-02-02 03:00:00,26.0945,17.3445,29.224144,19.569292,11.3
33,1950-02-03 03:00:00,25.5945,18.0945,28.859268,20.57254,4.2999997
34,1950-02-04 03:00:00,25.7445,17.4945,29.417118,19.953838,4.4
35,1950-02-05 03:00:00,25.0945,17.7945,26.990408,19.864267,23.2
36,1950-02-06 03:00:00,23.9945,17.8445,27.526722,19.91926,12.099999
37,1950-02-07 03:00:00,25.3945,18.2945,27.578308,20.436766,5.8999996
38,1950-02-08 03:00:00,25.2445,17.5445,28.160126,19.44443,6.799999
39,1950-02-09 03:00:00,24.6445,18.5445,29.156727,21.427395,0.5
40,1950-02-10 03:00:00,23.2945,17.9945,26.748362,20.252642,1.5000001
41,1950-02-11 03:00:00,26.2945,17.3945,29.38161,19.61664,0.2
42,1950-02-12 03:00:00,25.2945,18.1945,28.769867,20.681679,0.0
43,1950-02-13 03:00:00,26.5445,18.0445,31.381844,20.315403,0.1
44,1950-02-14 03:00:00,26.7445,17.2945,30.71259,19.410704,0.2
45,1950-02-15 03:00:00,26.7445,17.7445,30.601177,19.43257,0.0
46,1950-02-16 03:00:00,26.5945,18.7945,32.15109,20.543566,0.0
47,1950-02-17 03:00:00,26.8945,18.3445,31.687675,20.160639,0.1
48,1950-02-18 03:00:00,26.3445,17.8445,29.898003,19.793066,0.1
49,1950-02-19 03:00:00,25.4945,17.9945,28.965485,20.364553,2.5000002
50,1950-02-20 03:00:00,25.3445,17.2445,29.833729,19.367638,4.0
51,1950-02-21 03:00:00,24.1945,18.1445,28.272476,20.315157,6.5
52,1950-02-22 03:00:00,22.1945,18.1945,27.3049,20.079388,6.6999993
53,1950-02-23 03:00:00,23.2945,17.8945,26.838758,19.721994,8.4
54,1950-02-24 03:00:00,24.4445,18.3445,28.001507,20.175493,3.3000002
55,1950-02-25 03:00:00,25.1945,18.0445,28.861881,19.888277,1.6
56,1950-02-26 03:00:00,25.3445,17.9945,27.716618,18.558449,6.7999997
57,1950-02-27 03:00:00,25.3945,17.8445,27.566322,18.708576,6.5000005
58,1950-02-28 03:00:00,26.4945,17.1445,29.158108,18.081724,12.999999
59,1950-03-01 03:00:00,25.4445,16.6945,28.347374,17.357546,2.6999998
60,1950-03-02 03:00:00,26.3945,17.7445,28.876526,19.091623,11.2
61,1950-03-03 03:00:00,25.1945,17.7945,28.833324,20.15038,10.900001
62,1950-03-04 03:00:00,24.7445,18.3445,28.274181,20.50535,7.6999993
63,1950-03-05 03:00:00,25.3445,17.7445,28.37313,20.129652,7.7000003
