,data,temperatura_max_2m,temperature_2m_min,sensação_termica_max,sensação_termica_min,quantia_chuva
0,1950-01-01 03:00:00,29.710001,21.460001,33.472374,24.97988,1.1
1,1950-01-02 03:00:00,30.11,19.56,34.459877,22.731369,0.0
2,1950-01-03 03:00:00,31.26,21.460001,35.128365,24.979218,1.8000002
3,1950-01-04 03:00:00,28.66,22.81,32.11663,26.506054,1.5000002
4,1950-01-05 03:00:00,29.66,22.01,32.448967,25.527645,5.1
5,1950-01-06 03:00:00,30.41,21.210001,33.396996,24.530228,1.5
6,1950-01-07 03:00:00,29.26,21.91,33.7008,25.494844,0.5
7,1950-01-08 03:00:00,28.51,21.81,32.031605,24.785229,0.1
8,1950-01-09 03:00:00,27.51,21.76,31.762478,25.160809,1.5000001
9,1950-01-10 03:00:00,28.210001,21.66,33.146523,25.025665,2.1
10,1950-01-11 03:00:00,31.51,21.710001,37.0923,25.671637,0.6
11,1950-01-12 03:00:00,30.41,23.56,36.72481,28.117958,0.5
12,1950-01-13 03:00:00,30.91,23.66,38.393032,27.952236,0.5
13,1950-01-14 03:00:00,30.210001,23.460001,38.56329,28.154388,11.500001
14,1950-01-15 03:00:00,28.26,22.61,33.886494,27.18637,4.2
15,1950-01-16 03:00:00,27.86,23.06,31.939304,27.69876,1.3000001
16,1950-01-17 03:00:00,27.26,22.11,31.78954,26.314432,2.0000002
17,1950-01-18 03:00:00,28.06,20.61,33.250828,24.221985,2.4
18,1950-01-19 03:00:00,28.56,21.56,33.694565,25.304628,1.4000001
19,1950-01-20 03:00:00,29.56,21.36,33.52411,24.789948,0.8000001
20,1950-01-21 03:00:00,30.66,20.66,33.616917,23.71401,2.2
21,1950-01-22 03:00:00,30.06,22.66,35.105114,26.43801,3.5000005
22,1950-01-23 03:00:00,30.61,23.06,36.190018,27.19034,0.0
23,1950-01-24 03:00:00,30.460001,23.56,38.067856,28.171818,0.0
24,1950-01-25 03:00:00,30.76,23.01,37.157127,27.654385,0.0
25,1950-01-26 03:00:00,30.41,23.61,36.559822,28.30745,1.8000001
26,1950-01-27 03:00:00,29.56,22.66,34.91451,27.018562,2.2
27,1950-01-28 03:00:00,30.41,22.86,35.095726,27.770294,1.7000002
28,1950-01-29 03:00:00,29.210001,22.460001,35.900074,26.699497,0.5
29,1950-01-30 03:00:00,28.51,22.86,33.536488,26.963692,2.0000002
30,1950-01-31 03:00:00,28.16,22.51,33.594612,26.567808,6.599999
31,1950-02-01 03:00:00,29.76,22.31,34.61445,26.33408,8.3
32,1950-02-02 03:00:00,29.86,22.56,35.911976,27.274168,10.500001
33,1950-02-03 03:00:00,30.460001,23.66,34.428345,28.64772,1.4000001
34,1950-02-04 03:00:00,30.76,23.16,35.565247,27.204966,1.1
35,1950-02-05 03:00:00,31.26,22.41,35.286182,26.483665,0.8000001
36,1950-02-06 03:00:00,30.41,22.960001,35.064056,27.472507,0.90000004
37,1950-02-07 03:00:00,29.31,21.51,35.816456,24.846607,0.4
38,1950-02-08 03:00:00,28.56,21.91,33.244896,25.30342,0.8
